题号, 名称, 频次, 类型
215,数组中的第K个最大元素,26,
206,反转链表,23,
236,二叉树的最近公共祖先,21,
124,二叉树中的最大路径和,20,
3,无重复字符的最长子串,18,
450,删除二叉搜索树中的节点,18,
146,LRU缓存机制,17,
297,二叉树的序列化与反序列化,15,
53,最大子序和,15,
207,课程表,14,
33,搜索旋转排序数组,12,
22,括号生成,11,
4,寻找两个正序数组的中位数,11,
48,旋转图像,11,
103,二叉树的锯齿形层次遍历,11,
560,和为K的子数组,10,
25,K 个一组翻转链表,10,
8,字符串转换整数 (atoi),10,
56,合并区间,10,
15,三数之和,10,
151,翻转字符串里的单词,10,
5,最长回文子串,9,
200,岛屿数量,9,
121,买卖股票的最佳时机,8,
1,两数之和,8,
98,验证二叉搜索树,8,
32,最长有效括号,8,
94,二叉树的中序遍历,8,
46,全排列,7,
21,合并两个有序链表,7,
72,编辑距离,7,
93,复原IP地址,7,
41,缺失的第一个正数,7,
141,环形链表,7,
20,有效的括号,7,
210,课程表 II,7,
240,搜索二维矩阵 II,7,
39,组合总和,7,
168,Excel表列名称,7,
47,全排列 II,7,
543,二叉树的直径,7,
91,解码方法,7,
110,平衡二叉树,6,
34,在排序数组中查找元素的第一个和最后一个位置,6,
152,乘积最大子数组,6,
239,滑动窗口最大值,6,
补充题12,二叉树的下一个节点,6,
142,环形链表 II,6,
415,字符串相加,6,
752,打开转盘锁,6,
138,复制带随机指针的链表,6,
468,验证IP地址,6,
64,最小路径和,6,
224,基本计算器,6,
273,整数转换英文表示,5,
剑指 Offer 51,数组中的逆序对,5,
153,寻找旋转排序数组中的最小值,5,
76,最小覆盖子串,5,
295,数据流的中位数,5,
148,排序链表,5,
69,x 的平方根,5,
173,二叉搜索树迭代器,5,
105,从前序与中序遍历序列构造二叉树,5,
54,螺旋矩阵,4,
283,移动零,4,
227,基本计算器 II,4,
347,前 K 个高频元素,4,
补充题13,中文数字转阿拉伯数字,4,
31,下一个排列,4,
剑指 Offer 04,二维数组中的查找,4,
23,合并K个排序链表,4,
剑指 Offer 33,二叉搜索树的后序遍历序列,4,
208,实现 Trie (前缀树),4,
155,最小栈,4,
92,反转链表 II,4,
189,轮转数组,4,
428,序列化和反序列化 N 叉树,4,
24,两两交换链表中的节点,4,
386,字典序排数,4,
88,合并两个有序数组,4,
89,格雷编码,4,
384,打乱数组,4,
160,相交链表,4,
62,不同路径,4,
面试题 08.12,八皇后,4,
补充题6,手撕堆排序,4,
82,删除排序链表中的重复元素 II,3,
567,字符串的排列,3,
104,二叉树的最大深度,3,
补充题14,阿拉伯数字转中文数字,3,
679,24 点游戏,3,
718,最长重复子数组,3,
198,打家劫舍,3,
179,最大数,3,
123,买卖股票的最佳时机 III,3,
394,字符串解码,3,
40,组合总和 II,3,
907,子数组的最小值之和,3,
322,零钱兑换,3,
96,不同的二叉搜索树,3,
143,重排链表,3,
109,有序链表转换二叉搜索树,3,
1233,删除子文件夹,3,
139,单词拆分,3,
402,移掉K位数字,3,
166,分数到小数,3,
974,和可被 K 整除的子数组,3,
10,正则表达式匹配,3,
252,会议室,3,
43,字符串相乘,3,
面试题 02.05,链表求和,3,
剑指 Offer 52,两个链表的第一个公共节点,3,
337,打家劫舍 III,3,
300,最长上升子序列,3,
287,寻找重复数,3,
354,俄罗斯套娃信封问题,3,
79,单词搜索,3,
449,序列化和反序列化二叉搜索树,3,
1095,山脉数组中查找目标值,3,
222,完全二叉树的节点个数,3,
706,设计哈希映射,3,
37,解数独,3,
36,有效的数独,3,
162,寻找峰值,3,
165,比较版本号,2,
435,无重叠区间,2,
1035,不相交的线,2,
80,删除排序数组中的重复项 II,2,
55,跳跃游戏,2,
486,预测赢家,2,
35,搜索插入位置,2,
74,搜索二维矩阵,2,
437,路径总和 III,2,
442,数组中重复的数据,2,
135,分发糖果,2,
968,监控二叉树,2,
1494,并行课程 II,2,
407,接雨水 II,2,
234,回文链表,2,
701,二叉搜索树中的插入操作,2,